vessel_id,berth_id,start_offset,service_hours,priority
V02226,B4,2.23,28.0,normal
V04095,B1,3.13,24.4,normal
V05670,B2,1.51,24.9,normal
V05738,B5,7.65,7.3,low
V01576,B3,1.65,27.6,normal
V05460,B3,14.79,31.7,normal
V01261,B1,16.89,14.1,normal
V01413,B2,1.46,11.6,normal
V01781,B1,20.06,32.9,normal
V05160,B2,11.68,22.5,normal
V03797,B5,6.63,27.2,normal
V01643,B1,9.43,17.6,high
V05012,B4,2.39,29.1,normal
V01056,B2,7.64,9.2,normal
V05472,B4,3.32,16.2,normal
V01167,B2,5.97,18.3,normal
V05098,B3,23.5,25.8,normal
V02791,B3,9.79,6.2,low
V04399,B1,6.73,14.5,normal
V01296,B4,19.23,26.2,low
V03535,B5,0.11,9.1,normal
V01004,B3,10.95,27.9,normal
V02632,B2,6.36,18.4,low
V05295,B4,0.94,22.3,normal
V03988,B3,23.94,13.8,normal
V03066,B1,2.2,25.3,normal
V04827,B1,16.49,10.1,normal
V05259,B2,2.0,25.5,normal
V04699,B5,7.38,11.6,normal
V04879,B4,6.06,22.8,normal
